mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
14.515377283096313,0.9018605380656493,0.07920303344726562,0.006340581826093451,0.6,100,5,3,0.001,1.5,1.0,"{'subsample': 0.6, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.001, 'gamma': 1.5, 'colsample_bytree': 1.0}",0.672149571643942,0.6693219775992783,0.6716235329772998,0.6831282940189758,0.6803008420233966,0.6753048436525785,0.005393864130747777,29
20.78433289527893,0.2522040961100052,0.08920230865478515,0.010591353030926454,0.8,100,5,5,0.001,1.5,1.0,"{'subsample': 0.8, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.001, 'gamma': 1.5, 'colsample_bytree': 1.0}",0.6813859477602889,0.6754148580551813,0.6785174975539562,0.6879074456419938,0.6896040733267149,0.6825659644676271,0.005421941426302812,27
138.44501023292543,12.634445258956786,0.32959814071655275,0.04145927263760857,0.8,600,10,7,0.1,5,0.6,"{'subsample': 0.8, 'n_estimators': 600, 'min_child_weight': 10, 'max_depth': 7, 'learning_rate': 0.1, 'gamma': 5, 'colsample_bytree': 0.6}",0.6871720749031835,0.678005375291758,0.6842054743591601,0.691092221203321,0.6927013991877761,0.6866353089890397,0.0052407916649995345,19
114.54133324623108,2.168486450104977,0.25120129585266116,0.0268655046667836,0.8,600,5,5,0.001,1,0.6,"{'subsample': 0.8, 'n_estimators': 600, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.001, 'gamma': 1, 'colsample_bytree': 0.6}",0.6846741583493583,0.6778466099375177,0.6808531731219565,0.6910667969572615,0.6932338846170559,0.6855349245966299,0.005859103940211452,22
134.20634808540345,3.6187594259048597,0.2354058265686035,0.02028486707963734,0.8,600,1,5,0.1,5,1.0,"{'subsample': 0.8, 'n_estimators': 600, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 5, 'colsample_bytree': 1.0}",0.6914445312990019,0.6820135319484943,0.6897526942384048,0.6962336138592349,0.698571943770026,0.6916032630230323,0.005751789337043774,12
28.310150957107545,2.9007160970236745,0.11740055084228515,0.028618216897132488,1.0,100,5,7,0.1,0.5,0.6,"{'subsample': 1.0, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 7, 'learning_rate': 0.1, 'gamma': 0.5, 'colsample_bytree': 0.6}",0.6943593723459166,0.6856466859279844,0.6890741778625087,0.698356877626255,0.7016968876716548,0.6938268002868638,0.005869330455444204,5
133.42858514785766,4.777758908197279,0.25460000038146974,0.01966404166671794,0.8,600,10,5,0.001,2,0.8,"{'subsample': 0.8, 'n_estimators': 600, 'min_child_weight': 10, 'max_depth': 5, 'learning_rate': 0.001, 'gamma': 2, 'colsample_bytree': 0.8}",0.6841344538660848,0.6776702422298262,0.6809264820090899,0.6907078812810521,0.692584323357387,0.6852046765486881,0.005673807803613076,23
188.28001542091368,2.780892789249527,0.4382019519805908,0.08224221544561736,1.0,600,10,7,0.001,2,0.8,"{'subsample': 1.0, 'n_estimators': 600, 'min_child_weight': 10, 'max_depth': 7, 'learning_rate': 0.001, 'gamma': 2, 'colsample_bytree': 0.8}",0.6867103498291659,0.6801668744705088,0.6834790708661242,0.6916359851133957,0.6955307181371466,0.6875045996832684,0.005516608548634211,18
199.0650722503662,4.106226329188441,0.4014000415802002,0.05739959417500817,0.8,600,10,7,0.001,0.5,0.8,"{'subsample': 0.8, 'n_estimators': 600, 'min_child_weight': 10, 'max_depth': 7, 'learning_rate': 0.001, 'gamma': 0.5, 'colsample_bytree': 0.8}",0.6882793334818647,0.6812339920783219,0.6843444485175731,0.6927874895277881,0.6966336495641071,0.688655782633931,0.005559310271798742,16
19.713599920272827,1.1025459997873197,0.11560068130493165,0.02055764777978963,0.6,100,5,5,0.01,1.5,0.6,"{'subsample': 0.6, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.01, 'gamma': 1.5, 'colsample_bytree': 0.6}",0.6857109360627585,0.6791627058895335,0.681769981141043,0.6920018709154969,0.6939717077266507,0.6865234403470966,0.005708341928100535,20
83.63354005813599,1.8833421091928801,0.1941981315612793,0.011580785721477716,0.6,300,1,7,0.01,2,0.6,"{'subsample': 0.6, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 7, 'learning_rate': 0.01, 'gamma': 2, 'colsample_bytree': 0.6}",0.6925699790472654,0.6844742067581995,0.6878252229171302,0.6969624117081278,0.6999691284086609,0.6923601897678767,0.005689904356570165,11
35.98003649711609,0.5608867738817965,0.0960005760192871,0.0040495627076658726,0.6,300,1,3,0.001,1,0.8,"{'subsample': 0.6, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.001, 'gamma': 1, 'colsample_bytree': 0.8}",0.6748494635103812,0.6706244948051514,0.6727709568348645,0.6843357228608615,0.6828753490169833,0.6770911974056485,0.005503592479536445,28
63.183807897567746,0.706103166938473,0.1465987205505371,0.007605446332827863,0.8,600,5,3,0.1,1.5,0.6,"{'subsample': 0.8, 'n_estimators': 600, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 1.5, 'colsample_bytree': 0.6}",0.694169511589817,0.6866595355964824,0.6925368423150773,0.7007378528223872,0.7019319851896586,0.6952071455026845,0.005605016157535984,1
66.89533963203431,2.079728227531773,0.15959935188293456,0.025287335060241892,0.6,300,10,5,0.1,1,0.8,"{'subsample': 0.6, 'n_estimators': 300, 'min_child_weight': 10, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 1, 'colsample_bytree': 0.8}",0.6951489110786797,0.6841082466741171,0.6913082926299028,0.6969340260870889,0.6989356506340152,0.6932870254207606,0.0052314350153782885,7
13.113856840133668,0.16151868098454897,0.0805999755859375,0.008405364431906983,0.6,100,10,3,0.1,2,0.6,"{'subsample': 0.6, 'n_estimators': 100, 'min_child_weight': 10, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 2, 'colsample_bytree': 0.6}",0.6918957440483254,0.6847850446601841,0.6884878379969418,0.6971234154260647,0.6995755230472847,0.6923735130357601,0.005428482420037641,10
22.049658060073853,0.4316646009123414,0.08280091285705567,0.003186706250856774,1.0,100,1,5,0.01,2,1.0,"{'subsample': 1.0, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.01, 'gamma': 2, 'colsample_bytree': 1.0}",0.6833973207434926,0.6771374002470371,0.6797896185731694,0.6892440359925911,0.692430220435493,0.6843997191983566,0.005708860872536845,25
140.56955189704894,3.8654235591849573,0.23210325241088867,0.011088793647819352,1.0,600,10,7,0.1,5,0.6,"{'subsample': 1.0, 'n_estimators': 600, 'min_child_weight': 10, 'max_depth': 7, 'learning_rate': 0.1, 'gamma': 5, 'colsample_bytree': 0.6}",0.6930092109657597,0.6839102950987883,0.6890778028231858,0.6982999900090735,0.6989345512606951,0.6926463700315005,0.005669038237934264,9
148.60608949661255,3.3128107181881883,0.2669999122619629,0.04124510200000862,0.8,600,1,5,0.01,5,1.0,"{'subsample': 0.8, 'n_estimators': 600, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.01, 'gamma': 5, 'colsample_bytree': 1.0}",0.6934511050159493,0.6856886601994299,0.6899956805027998,0.6981796111065923,0.7013177029188733,0.693726551948729,0.005586739396951173,6
39.767086839675905,1.2791893083658983,0.10519928932189941,0.0066147845181986666,0.6,300,1,3,0.1,1,0.8,"{'subsample': 0.6, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 1, 'colsample_bytree': 0.8}",0.6941401117502957,0.6875510085078866,0.6907403524110507,0.7005257109126048,0.7027307938057247,0.6951375954775124,0.005737167785811223,2
13.99788761138916,0.30973868221055434,0.07380080223083496,0.006763551448703286,0.8,100,5,3,0.1,1,1.0,"{'subsample': 0.8, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 1, 'colsample_bytree': 1.0}",0.6921294197775256,0.6847343868251498,0.6887975245282196,0.6983443239714514,0.7001665253451976,0.6928344360895089,0.005771012014609598,8
50.70111608505249,2.1306263537559427,0.12200055122375489,0.01753857669351849,1.0,300,10,5,0.1,5,0.8,"{'subsample': 1.0, 'n_estimators': 300, 'min_child_weight': 10, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 5, 'colsample_bytree': 0.8}",0.6948234574306371,0.6859144798979959,0.6908416012273364,0.6993432977658827,0.7021391576349063,0.6946123987913517,0.005812929672542784,4
25.71692852973938,0.8479946970147564,0.10120043754577637,0.009239778770068494,0.6,100,10,7,0.01,1,0.6,"{'subsample': 0.6, 'n_estimators': 100, 'min_child_weight': 10, 'max_depth': 7, 'learning_rate': 0.01, 'gamma': 1, 'colsample_bytree': 0.6}",0.6890806153109055,0.6823606863110319,0.6846909046294882,0.6942214685077208,0.6976645918471317,0.6896036533212556,0.005712655890113193,14
187.2361493587494,5.490795337627313,0.3470012187957764,0.01147379919542953,0.6,600,10,7,0.001,2,0.8,"{'subsample': 0.6, 'n_estimators': 600, 'min_child_weight': 10, 'max_depth': 7, 'learning_rate': 0.001, 'gamma': 2, 'colsample_bytree': 0.8}",0.6887792124749779,0.6815929894647104,0.6847521303143651,0.6933946704411817,0.6966696193754147,0.68903772441413,0.00549701779259371,15
101.5263385295868,5.158348677738179,0.20900111198425292,0.014409828373648287,0.6,300,1,7,0.001,0.5,0.8,"{'subsample': 0.6, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 7, 'learning_rate': 0.001, 'gamma': 0.5, 'colsample_bytree': 0.8}",0.6881356477095683,0.6806696892004771,0.6838118714738498,0.6925681298855104,0.6959672312468639,0.6882305139032538,0.005574426936720886,17
12.709841966629028,0.7084071174823405,0.0724001407623291,0.007389325022740911,1.0,100,5,3,0.001,5,1.0,"{'subsample': 1.0, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.001, 'gamma': 5, 'colsample_bytree': 1.0}",0.6662315612586668,0.6652509437216187,0.6675102995061857,0.6801408931095911,0.6761442501599229,0.6710555895511969,0.005966095058179947,30
26.982210683822633,0.7075874346270851,0.10079984664916992,0.0034302468387692924,1.0,300,10,3,0.01,2,0.6,"{'subsample': 1.0, 'n_estimators': 300, 'min_child_weight': 10, 'max_depth': 3, 'learning_rate': 0.01, 'gamma': 2, 'colsample_bytree': 0.6}",0.6828399842809914,0.6770685284702407,0.679352622630575,0.6899811039020449,0.6905336900354064,0.6839551858638516,0.005467023290272083,26
87.83082594871522,0.9667581896414559,0.1778019428253174,0.004748541620438277,0.6,600,10,3,0.01,2,1.0,"{'subsample': 0.6, 'n_estimators': 600, 'min_child_weight': 10, 'max_depth': 3, 'learning_rate': 0.01, 'gamma': 2, 'colsample_bytree': 1.0}",0.6894443021228942,0.6832808766363236,0.6861762273147473,0.6954985045180158,0.6978797397010819,0.6904559300586126,0.005502020448073954,13
44.07602910995483,0.9488187494855757,0.10280055999755859,0.005419665962490518,0.6,300,1,3,0.01,0.5,1.0,"{'subsample': 0.6, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.01, 'gamma': 0.5, 'colsample_bytree': 1.0}",0.6831113805590114,0.6778810792528075,0.6801812282253206,0.6905247192481574,0.6915298906358773,0.6846456595842347,0.0054772381041979755,24
62.255981063842775,1.975004061823707,0.14139895439147948,0.010671610866729669,0.8,600,5,3,0.1,1,0.6,"{'subsample': 0.8, 'n_estimators': 600, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 1, 'colsample_bytree': 0.6}",0.6940013639227437,0.6868343829996277,0.692190864083907,0.7003367053638647,0.7018864082421306,0.6950499449224546,0.005503751261607693,3
21.53103346824646,3.511389642068449,0.07740073204040528,0.017761721571333065,0.6,100,5,5,0.01,2,1.0,"{'subsample': 0.6, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.01, 'gamma': 2, 'colsample_bytree': 1.0}",0.6851254280559183,0.6784202748210455,0.6816480249844967,0.6911954508724356,0.6929501819227618,0.6858678721313316,0.005520276189981787,21
